A Layered Motion Representation with Occlusion and Compact Spatial Support| This allows us to automatically initialize new models, and to compare different depth orderings. 
The Digital Office: Overview| Abstract This paper describes our efforts to develop a "Digital Office" in which we augment a physical office setting with cameras and other electronic devices.  Our goal is to bring the worlds of electronic and physical documents closer together and to facilitate the interaction of humans with all kinds of documents.  In the "Digital Office" we extend the traditional notion of "scanning"documentsto include the capture of whiteboards, books, desktops, and the human office workers themselves.  In particular, we give an overview of three systems in which video cameras unobtrusively observe and capture whiteboards and human gestures, papers on the desktop, and the motion of a user's face which is used to control the display of electronic documents in a browser.  Each of these systems combines the features and affordances of both physical and electronic documents, and together they begin to illuminate the intelligent office environment of the future. 
Mixture Models for Optical Flow Computation| Abstract The computation of optical flow relies on merging information available over an image patch to form an estimate of 2D image velocity at a point.  This merging process raises a host of issues, which include the treatment of outliers in component velocity measurements and the modeling of multiple motions within a patch which arise from occlusion boundaries or transparency.  We present a new approach which allows us to deal with these issues within a common framework.  Our approach is based on the use of a probabilistic mixture model to explicitly represent multiple motions within a patch.  We use a simple extension of the EM-algorithm to compute a maximum likelihood estimate for the various motion parameters.  Preliminary experiments indicate that this approach is computationally efficient and can provide robust estimates of the optical flow values in the presence of outliers and multiple motions.  The basic approach can also be applied to other problems in computational vision, such as the computation of 3D relative motion, which require the integration of several partial constraints to obtain a desired quantity. 
Generative modeling for continuous non-linearly embedded visual inference| Abstract Many difficult visual perception problems, like 3D human motion estimation, can be formulated in terms of inference using complex generative models, defined over high-dimensional state spaces.  Despite progress, optimizing such models is difficult because prior knowledge cannot be flexibly integrated in order to reshape an initially designed representation space.  Nonlinearities, inherent sparsity of high-dimensional training sets, and lack of global continuity makes dimensionality reduction challenging and lowdimensional search inefficient.  To address these problems, we present a learning and inference algorithm that restricts visual tracking to automatically extracted, non-linearly embedded, lowdimensional spaces.  This formulation produces a layered generative model with reduced state representation, that can be estimated using efficient continuous optimization methods.  Our prior flattening method allows a simple analytic treatment of low-dimensional intrinsic curvature constraints, and allows consistent interpolation operations.  We analyze reduced manifolds for human interaction activities, and demonstrate that the algorithm learns continuous generative models that are useful for tracking and for the reconstruction of 3D human motion in monocular video. 
Variational Mixture Smoothing for Non-Linear Dynamical Systems| Abstract We present an algorithm for computing joint state, smoothed, density estimates for non-linear dynamical systems in a Bayesian setting.  Many visual tracking problems can be formulated as probabilistic inference over time series, but we are not aware of mixture smoothers that would apply to weakly identifiable models, where multimodality is persistent rather than transient (e. g.  monocular 3D human tracking).  Such processes, in principle, exclude iterated Kalman smoothers, whereas flexible MCMC methods or sample based particle smoothers encounter computational difficulties: accurately locating an exponential number of probable joint state modes representing high-dimensional trajectories, rapidly mixing between those or resampling probable configurations missed during filtering.  In this paper we present an alternative, layered, mixture density smoothing algorithm that exploits the accuracy of efficient optimization within a Bayesian approximation framework.  The distribution is progressively refined by combining polynomial time search over the embedded network of temporal observation likelihood peaks, MAP continuous trajectory estimates, and Bayesian variational adjustment of the resulting joint mixture approximation.  Our results demonstrate the effectiveness of the method on the problem of inferring multiple plausible 3D human motion trajectories from monocular video. 
Sparse coding in practice| Abstract The goal in sparse coding is to seek a linear basis representation where each image is represented by a small number of active coefficients.  The learning algorithm involves adapting a basis vector set while imposing a low-entropy, or sparse, prior on the output coefficients.  Sparse coding applied on natural images has been shown to extract wavelet-like structure [9, 4].  However, our experience in using sparse coding for extracting multi-scale structure in object-specific ensembles, such as face images or images of a gesturing hand, has been negative.  In this paper we highlight three points about the reliability of sparse coding for extracting the desired structure: (1) using an overcomplete representation (2) projecting data into a low-dimensional subspace before attempting to resolve the sparse structure and (3) applying sparsity constraint on the basis elements, as opposed to the output coefficients. 
Robust Online Appearance Models for Visual Tracking| Abstract We propose a framework for learning robust, adaptive, appearance models to be used for motion-based tracking of natural objects.  The approach involves a mixture of stable image structure, learned over long time courses, along with 2-frame motion information and an outlier process.  An online EM-algorithm is used to adapt the appearance model parameters over time.  An implementation of this approach is developed for an appearance model based on the filter responses from a steerable pyramid.  This model is used in a motion-based tracking algorithm to provide robustness in the face of image outliers, such as those caused by occlusions.  It is also provides the ability to adapt to natural changes in appearance, such as those due to facial expressions or variations in 3D pose.  We show experimental results on a variety of natural image sequences of people moving within cluttered environments. 
Estimating Multiple Independent Motions in Segmented Images using Parametric Models with Local Deformations| Abstract This paper presents a new model for optical flow based on the motion of planar regions plus local deformations.  The approach exploits brightness information to organize and constrain the interpretation of the motion by using segmented regions of piecewise smooth brightness to hypothesize planar regions in the scene.  Parametric flow models are fitted to these regions in a two step process which first computes a coarse fit and then refines it using a generalization of the standard area-based regression approaches.  Since the assumption of planarity is likely to be violated, we allow local deformations from the planar assumption.  This parametric+deformation model exploits the strong constraints of parametric approaches while retaining the adaptive nature of regularization approaches. 
Phase singularities in scale-space| Abstract This paper concerns the use of phase information from band-pass signals for the measurement of binocular disparity, optic flow, and image orientation.  Towards this end, one of the important properties of band-pass phase information is its stability with respect to small geometric deformations and contrast changes.  However, in particular regions phase can also be very unstable due to the occurrence of phase singularities.  We discuss the existence of phase singularities, and their relation to the neighbourhoods where phase is unreliable.  Moreover, we present a simple method for detecting these regions of instability. 
University of Toronto| Abstract We present an algorithm for computing joint state, smoothed, density estimates for non-linear dynamical systems in a Bayesian setting.  Many visual tracking problems can be formulated as probabilistic inference over time series, but we are not aware of mixture smoothers that would apply to weakly identifiable models, where multimodality is persistent rather than transient (e. g.  monocular 3D human tracking).  Such processes, in principle, exclude iterated Kalman smoothers, whereas flexible MCMC methods or sample based particle smoothers encounter computational difficulties: accurately locating an exponential number of probable joint state modes representing high-dimensional trajectories, rapidly mixing between those or resampling probable configurations missed during filtering.  In this paper we present an alternative, layered, mixture density smoothing algorithm that exploits the accuracy of efficient optimization within a Bayesian approximation framework.  The distribution is progressively refined by combining polynomial time search over the embedded network of temporal observation likelihood peaks, MAP continuous trajectory estimates, and Bayesian variational adjustment of the resulting joint mixture approximation.  Our results demonstrate the effectiveness of the method on the problem of inferring multiple plausible 3D human motion trajectories from monocular video. 
Trajectory Segmentation Using Dynamic Programming| Abstract We consider the segmentation of a trajectory into piecewise polynomial parts, or possibly other forms.  Segmentation is typically formulated as an optimization problem which trades off model fitting error versus the cost of introducing new segments.  Heuristics such as split-and-merge are used to find the best segmentation.  We show that for ordered data (eg. , single curves or trajectories) the global optimum segmentation can be found by dynamic programming.  The approach is easily extended to handle different segment types and top down information about segment boundaries, when available.  We show segmentation results for video sequences of a basketball undergoing gravitional and non-gravitaional motion. 
