Hierarchical Optimal Control of MDPs| Abstract Fundamental to reinforcement learning, as well as to the
Learning to Schedule Straight-Line Code| Abstract Program execution speed on modern computers is sensitive, by a factor of two or more, to the order in which instructions are presented to the processor.  To realize potential execution efficiency, an optimizing compiler must employ a heuristic algorithm for instruction scheduling.  Such algorithms are painstakingly hand-crafted, which is expensive and time-consuming.  We show how to cast the instruction scheduling problem as a learning task, obtaining the heuristic scheduling algorithm automatically.  Our focus is the narrower problem of scheduling straight-line code (also called basic blocks of instructions).  Our empirical results show that just a few features are adequate for quite good performance at this task for a real modern processor, and that any of several supervised learning methods perform nearly optimally with respect to the features used. 
Planning with Closed-Loop Macro Actions| Abstract Planning and learning at multiple levels of temporal abstraction is a key problem for artificial intelligence.  In this paper we summarize an approach to this problem based on the mathematical framework of Markov decision processes and reinforcement learning.  Conventional model-based reinforcement learning uses primitive actions that last one time step and that can be modeled independently of the learning agent.  These can be generalized to macro actions, multi-step actions specified by an arbitrary policy and a way of completing.  Macro actions generalize the classical notion of a macro operator in that they are closed loop, uncertain, and of variable duration.  Macro actions are needed to represent common-sense higher-level actions such as going to lunch, grasping an object, or traveling to a distant city.  This paper generalizes prior work on temporally abstract models (Sutton 1995) and extends it from the prediction setting to include actions, control, and planning.  We define a semantics of models of macro actions that guarantees the validity of planning using such models.  This paper present new results in the theory of planning with macro actions and illustrates its potential advantages in a gridworld task. 
RedAgent-2003: An Autonomous Market-Based Supply-Chain Management Agent| Abstract The Supply Chain Management track of the international Trading Agents Competition (TAC SCM) was introduced in 2003 as a test-bed for researchers interested in building autonomous agents that act in dynamic supply chains.  TAC SCM provides a challenging scenario for existing AI decisionmaking algorithms, due to the high dimensionality and the non-determinism of the environment, as well as the combinatorial nature of the problem.  In this paper we present RedAgent, the winner of the first TAC SCM competition.  RedAgent is based on a multi-agent design, in which many simple, heuristic agents manage tasks such as fulfilling customer orders or procuring particular resources.  The key idea is to use internal markets as the main decision mechanism, in order to determine what products to focus on and how to allocate the existing resources.  The internal markets ensure the coordination of the individual agents, but at the same time provide price estimates for the goods that RedAgent has to sell and purchase, a key feature in this domain.  We describe RedAgent's architecture and analyze its behavior based on data from the competition. 
Between MDPs and Semi-MDPs: A Framework for Temporal Abstraction in Reinforcement Learning| Abstract Learning, planning, and representing knowledge at multiple levels of temporal abstraction are key, longstanding challenges for AI.  this paper we consider how these challenges can be addressed within the mathematical framework reinforcement learning and Markov decision processes (MDPs).  We extend the usual notion of action in this framework to include options---closed-loop policies for taking action over period of time.  Examples of options include picking up an object, going to lunch, and traveling a distant city, as well as primitive actions such as muscle twitches and joint torques.  Overall, we show that options enable temporally abstract knowledge and action to be included in the reinforcement learning framework in natural and general way.  In particular, we show that options may be used interchangeably with primitive actions in planning methods such as dynamic programming and in learning methods such as Q-learning.  Formally, a set of options defined over MDP constitutes a semi-Markov decision process (SMDP), and the theory of SMDPs provides the foundation for the theory options.  However, the most interesting issues concern the interplay between the underlying MDP and the SMDP and are thus beyond SMDP theory.  We present results for three such cases: (1) we show that the results planning with options can be used during execution interrupt options and thereby perform even better than planned, (2) we introduce new intra-option methods that are able learn about an option from fragments of execution, and (3) we propose notion subgoal that can be used to improve the options themselves.  All of these results have precursors in the existing literature; the contribution of this paper is to establish them in simpler and more general setting with fewer changes to the existing reinforcement learning framework.  In particular, we show that these results can be obtained without committing (or ruling out) any particular approach to state abstraction, hierarchy, function approximation, or the macro Corresponding author. 
Off-policy Learning with Recognizers| Abstract We introduce a new algorithm for off-policy temporal-difference learning with function approximation that has lower variance and requires less knowledge of the behavior policy than prior methods.  We develop the notion of a recognizer, a filter on actions that distorts the behavior policy to produce a related target policy with low-variance importance-sampling corrections.  We also consider target policies that are deviations from the state distribution of the behavior policy, such as potential temporally abstract options, which further reduces variance.  This paper introduces recognizers and their potential advantages, then develops a full algorithm for linear function approximation and proves that its updates are in the same direction as on-policy TD updates, which implies asymptotic convergence.  Even though our algorithm is based on importance sampling, we prove that it requires absolutely no knowledge of the behavior policy for the case of state-aggregation function approximators.  Off-policy learning is learning about one way of behaving while actually behaving in another way.  For example, Q-learning is an off- policy learning method because it learns about the optimal policy while taking actions in a more exploratory fashion, e. g. , according to an e-greedy policy.  Off-policy learning is of interest because only one way of selecting actions can be used at any time, but we would like to learn about many different ways of behaving from the single resultant stream of experience.  For example, the options framework for temporal abstraction involves considering a variety of different ways of selecting actions.  For each such option one would like to learn a model of its possible outcomes suitable for planning and other uses.  Such option models have been proposed as fundamental building blocks of grounded world knowledge (Sutton, Precup & Singh, 1999; Sutton, Rafols & Koop, 2005).  Using off-policy learning, one would be able to learn predictive models for many options at the same time from a single stream of experience.  Unfortunately, off-policy learning using temporal-difference methods has proven problematic when used in conjunction with function approximation.  Function approximation is essential in order to handle the large state spaces that are inherent in many problem domains.  Q-learning, for example, has been proven to converge to an optimal policy in the tabular case, but is unsound and may diverge in the case of linear function approximation (Baird, 1996).  Precup, Sutton, and Dasgupta (2001) introduced and proved convergence for the first off-policy learning algorithm with linear function approximation.  They addressed the problem of learning the expected value of a target policy based on experience generated using a different behavior policy.  They used importance sampling techniques to reduce the off-policy case to the on-policy case, where existing convergence theorems apply (Tsitsiklis & Van Roy, 1997; Tadic, 2000).  There are two important difficulties with that approach.  First, the behavior policy needs to be stationary and known, because it is needed to compute the importance sampling corrections.  Second, the importance sampling weights are often ill-conditioned.  In the worst case, the variance could be infinite and convergence would not occur.  The conditions required to prevent this were somewhat awkward and, even when they applied and asymptotic convergence was assured, the variance could still be high and convergence could be slow.  In this paper we address both of these problems in the context of off-policy learning for options.  We introduce the notion of a recognizer.  Rather than specifying an explicit target policy (for instance, the policy of an option), about which we want to make predictions, a recognizer specifies a condition on the actions that are selected.  For example, a recognizer for the temporally extended action of picking up a cup would not specify which hand is to be used, or what the motion should be at all different positions of the cup.  The recognizer would recognize a whole variety of directions of motion and poses as part of picking the cup.  The advantage of this strategy is not that one might prefer a multitude of different behaviors, but that the behavior may be based on a variety of different strategies, all of which are relevant, and we would like to learn from any of them.  In general, a recognizer is a function that recognizes or accepts a space of different ways of behaving and thus, can learn from a wider range of data.  Recognizers have two advantages over direct specification of a target policy: 1) they are a natural and easy way to specify a target policy for which importance sampling will be well conditioned, and 2) they do not require the behavior policy to be known.  The latter is important because in many cases we may have little knowledge of the behavior policy, or a stationary behavior policy may not even exist.  We show that for the case of state aggregation, even if the behavior policy is unknown, convergence to a good model is achieved.  1 Non-sequential example The benefits of using recognizers in off-policy learning can be most easily seen in a nonsequential context with a single continuous action.  Suppose you are given a sequence of sample actions a i 2 [0, 1], selected i. i. d.  according to probability density b : [0, 1] 7! + (the behavior density).  For example, suppose the behavior density is of the oscillatory form shown as a red line in Figure 1.  For each each action, a i , we observe a corresponding outcome, z i 2 , a random variable whose distribution depends only on a i .  Thus the behavior density induces an outcome density.  The on-policy problem is to estimate the mean m b of the outcome density.  This problem can be solved simply by averaging the sample outcomes: ^ m b = i z i .  The off-policy problem is to use this same data to learn what the mean would be if actions were selected in some way other than b.  For example, if the actions were restricted to a designated range, such as between 0. 7 and 0. 9.  There are two natural ways to pose this off-policy problem.  The most straightforward way is to be equally interested in all actions within the designated region.  One professes to be interested in actions selected according to a target density p : [0, 1] 7! + , which in the example would be 5. 0 between 0. 7 and 0. 9, and zero elsewhere, as in the dashed line in Figure 1 (left).  The importance- sampling estimate of the mean outcome is ^ m p = i p(a i ) b(a i ) z i .  (1)
Special issue: TOOLS USA 2003 Improving Rule Set Based Software Quality Prediction: A Genetic Algorithm-based Approach| Abstract The object-oriented (OO) paradigm has now reached maturity.  OO software products are becoming more complex which makes their evolution effort and time consuming.  In this respect, it has become important to develop tools that allow assessing the stability of OO software (i. e. , the ease with which a software item can evolve while preserving its design).  In general, predicting the quality of OO software is a complex task.  Although many predictive models are proposed in the literature, we remain far from having reliable tools that can be applied to real industrial systems.  The main obstacle for building reliable predictive tools for real industrial systems is the lackof representative samples.  Unlike other domains where such samples can be drawn from available large repositories of data, in OO software the lack of such repositories makes it hard to generalize, to validate and to reuse existing models.  Since universal models do not exist, selecting an appropriate quality model is a difficult, non-trivial decision for a company.  In this paper, we propose two general approaches to solve this problem.  They consist of combining/adapting a set of existing models.  The process is driven by the context of the target company.  These approaches are applied to OO software stability prediction. 
Multi-Time Models for Reinforcement Learning| Abstract Reinforcement learning can be used not only to predict rewards, but also to predict states, i. e.  to learn a model of the world's dynamics.  Models can be defined at different levels of temporal abstraction.  Multi-time models are models that focus on predicting what will happen, rather than when a certain event will take place.  Based on multi-time models, we can define abstract actions, which enable planning (presumably in a more efficient way) at various levels of abstraction.  1 Action models Model-based reinforcement learning offers a possible solution to the problem of integrating planning in a real-time learning agent.  Models are used to make predictions about the environment.  The input of a model is a state and an action.  The model should output a distribution of possible future states, as well as the expected value of the reward along the way.  Since models provide action-dependent predictions, they also define policies for achieving certain states, or for achieving maximum expected rewards.  Reinforcement learning algorithms have traditionally been concerned with 1-step models, which assume that the agent interacts with its environment at some discrete, lowest-level time scale.  We extend this framework by defining multi-time models, which describe the environment at different time scales.  Multi-time models are a formalism for describing abstract actions. 
MIT Press| Improved Switching among Temporally Abstract Actions.  Abstract In robotics and other control applications it is commonplace to have a
Exponentiated Gradient Methods for Reinforcement Learning| Abstract This paper introduces and evaluates a natural extension of linear exponentiated gradient methods that makes them applicable to reinforcement learning problems.  Just as these methods speed up supervised learning, we find that they can also increase the efficiency of reinforcement learning.  Comparisons are made with conventional reinforcement learning methods on two test problems using CMAC function approximators and replacing traces.  On a small prediction task, exponentiated gradient methods showed no improvement, but on a larger control task (Mountain Car) they improved the learning speed by approximately 25%.  A more detailed analysis suggests that the difference may be due to the distribution of irrelevant features. 
Learning to Schedule Straight-Line Code| Abstract Execution speed of programs on modern computer architectures is sensitive, by a factor of two or more, to the order in which instructions are presented to the processor.  To realize potential execution efficiency, it is now customary for an optimizing compiler to employ a heuristic algorithm for instruction scheduling.  These algorithms are painstakingly hand-crafted, which is expenseive and time-consuming.  We show how to cast the instruction scheduling problem as a learning task, so that one obtains the heuristic scheduling algorithm automatically.  Our focus is the narrower problem of scheduling straight-line code,
