Hierarchical Optimal Control of MDPs| Abstract Fundamental to reinforcement learning, as well as to the
Planning with Closed-Loop Macro Actions| Abstract Planning and learning at multiple levels of temporal abstraction is a key problem for artificial intelligence.  In this paper we summarize an approach to this problem based on the mathematical framework of Markov decision processes and reinforcement learning.  Conventional model-based reinforcement learning uses primitive actions that last one time step and that can be modeled independently of the learning agent.  These can be generalized to macro actions, multi-step actions specified by an arbitrary policy and a way of completing.  Macro actions generalize the classical notion of a macro operator in that they are closed loop, uncertain, and of variable duration.  Macro actions are needed to represent common-sense higher-level actions such as going to lunch, grasping an object, or traveling to a distant city.  This paper generalizes prior work on temporally abstract models (Sutton 1995) and extends it from the prediction setting to include actions, control, and planning.  We define a semantics of models of macro actions that guarantees the validity of planning using such models.  This paper present new results in the theory of planning with macro actions and illustrates its potential advantages in a gridworld task. 
Between MDPs and Semi-MDPs: A Framework for Temporal Abstraction in Reinforcement Learning| Abstract Learning, planning, and representing knowledge at multiple levels of temporal abstraction are key, longstanding challenges for AI.  this paper we consider how these challenges can be addressed within the mathematical framework reinforcement learning and Markov decision processes (MDPs).  We extend the usual notion of action in this framework to include options---closed-loop policies for taking action over period of time.  Examples of options include picking up an object, going to lunch, and traveling a distant city, as well as primitive actions such as muscle twitches and joint torques.  Overall, we show that options enable temporally abstract knowledge and action to be included in the reinforcement learning framework in natural and general way.  In particular, we show that options may be used interchangeably with primitive actions in planning methods such as dynamic programming and in learning methods such as Q-learning.  Formally, a set of options defined over MDP constitutes a semi-Markov decision process (SMDP), and the theory of SMDPs provides the foundation for the theory options.  However, the most interesting issues concern the interplay between the underlying MDP and the SMDP and are thus beyond SMDP theory.  We present results for three such cases: (1) we show that the results planning with options can be used during execution interrupt options and thereby perform even better than planned, (2) we introduce new intra-option methods that are able learn about an option from fragments of execution, and (3) we propose notion subgoal that can be used to improve the options themselves.  All of these results have precursors in the existing literature; the contribution of this paper is to establish them in simpler and more general setting with fewer changes to the existing reinforcement learning framework.  In particular, we show that these results can be obtained without committing (or ruling out) any particular approach to state abstraction, hierarchy, function approximation, or the macro Corresponding author. 
Policy Gradient Methods for Reinforcement Learning with Function Approximation| Abstract Function approximation is essential to reinforcement learning, but the standard approach of approximating a value function and determining a policy from it has so far proven theoretically intractable.  In this paper we explore an alternative approach in which the policy is explicitly represented by its own function approximator, independent of the value function, and is updated according to the gradient of expected reward with respect to the policy parameters.  Williams's REINFORCE method and actor--critic methods are examples of this approach.  Our main new result is to show that the gradient can be written in a form suitable for estimation from experience aided by an approximate action-value or advantage function.  Using this result, we prove for the first time that a version of policy iteration with arbitrary dierentiable function approximation is convergent to a locally optimal policy.  Large applications of reinforcement learning (RL) require the use of generalizing function approximators such neural networks, decision-trees, or instance-based methods.  The dominant approach for the last decade has been the value-function approach, in which all function approximation eort goes into estimating a value function, with the action-selection policy represented implicitly as the "greedy" policy with respect to the estimated values (e. g. , as the policy that selects in each state the action with highest estimated value).  The value-function approach has worked well in many applications, but has several limitations.  First, it is oriented toward finding deterministic policies, whereas the optimal policy is often stochastic, selecting dierent actions with specific probabilities (e. g. , see Singh, Jaakkola, and Jordan, 1994).  Second, an arbitrarily small change in the estimated value of an action can cause it to be, or not be, selected.  Such discontinuous changes have been identified as a key obstacle to establishing convergence assurances for algorithms following the value-function approach (Bertsekas and Tsitsiklis, 1996).  For example, Q-learning, Sarsa, and dynamic programming methods have all been shown unable to converge to any policy for simple MDPs and simple function approximators (
TD Models: Modeling the World at a Mixture of Time Scales| Abstract Temporal-difference (TD) learning can be used not just to predict rewards, as is commonly done in reinforcement learning, but also to predict states, i. e. , to learn a model of the world's dynamics.  We present theory and algorithms for intermixing TD models of the world at different levels of temporal abstraction within a single structure.  Such multi-scale TD models can be used in model-based reinforcement-learning architectures and dynamic programming methods in place of conventional Markov models.  This enables planning at higher and varied levels of abstraction, and, as such, may prove useful in formulating methods for hierarchical or multi-level planning and reinforcement learning.  In this paper we treat only the prediction problem---that of learning a model and value function for the case of fixed agent behavior.  Within this context, we establish the theoretical foundations of multi-scale models and derive TD algorithms for learning them.  Two small computational experiments are presented to test and illustrate the theory.  This work is an extension and generalization of the work of Singh (1992), Dayan (1993), and Sutton & Pinette (1985). 
Predictive Representations of State| Abstract We show that states of a dynamical system can be usefully represented by multi-step, action-conditional predictions of future observations.  State representations that are grounded in data in this way may be easier to learn, generalize better, and be less dependent on accurate prior models than, for example, POMDP state representations.  Building on prior work by Jaeger and by Rivest and Schapire, in this paper we compare and contrast a linear specialization of the predictive approach with the state representations used in POMDPs and in k-order Markov models.  Ours is the first specific formulation of the predictive idea that includes both stochasticity and actions (controls).  We show that any system has a linear predictive state representation with number of predictions no greater than the number of states in its minimal POMDP model.  In predicting or controlling a sequence of observations, the concepts of state and state estimation inevitably arise.  There have been two dominant approaches.  The generative-model approach, typified by research on partially observable Markov decision processes (POMDPs), hypothesizes a structure for generating observations and estimates its state and state dynamics.  The history-based approach, typified by k-order Markov methods, uses simple functions of past observations as state, that is, as the immediate basis for prediction and control.  (The data flow in these two approaches are diagrammed in Figure 1. ) Of the two, the generative-model approach is more general.  The model's internal state gives it temporally unlimited memory| the ability to remember an event that happened arbitrarily long ago|whereas a history-based approach can only remember as far back as its history extends.  The bane of generative-model approaches is that they are often strongly dependent on a good model of the system's dynamics.  Most uses of POMDPs, for example, assume a perfect dynamics model and attempt only to estimate state.  There are algorithms for simultaneously estimating state and dynamics (e. g. , Chrisman, 1992), analogous to the Baum-Welch algorithm for the uncontrolled case (Baum et al. , 1970), but these are only effective at tuning parameters that are already approximately correct (e. g. , Shatkay & Kaelbling, 1997).  State Update observations (and actions) state rep'n observations (and actions) state rep'n 1-step delays (a) (b) Figure 1: Data flow in a) POMDP and other recursive updating of state representation, and b) history-based state representation.  In practice, history-based approaches are often much more effective.  Here, the state representation is a relatively simple record of the stream of past actions and observations.  It might record the occurrence of a specific subsequence or that one event has occurred more recently than another.  Such representations are far more closely linked to the data than are POMDP representations.  One way of saying this is that POMDP learning algorithms encounter many local minima and saddle points because all their states are equipotential.  History-based systems immediately break symmetry, and their direct learning procedure makes them comparably simple.  McCallum (1995) has shown in a number of examples that sophisticated history-based methods can be effective in large problems, and are often more practical than POMDP methods even in small ones.  The predictive state representation (PSR) approach, which we develop in this paper, is like the generative-model approach in that it updates the state representation recursively, as in Figure 1(a), rather than directly computing it from data.  We show that this enables it to attain generality and compactness at least equal to that of the generative-model approach.  However, the PSR approach is also like the history-based approach in that its representations are grounded in data.  Whereas a history-based representation looks to the past and records what did happen, a PSR looks to the future and represents what will happen.  In particular, a PSR is a vector of predictions for a specially selected set of action{observation sequences, called tests (after Rivest & Schapire, 1994).  For example, consider the test a 1 o 1 a 2 o 2 , where a 1 and a 2 are specific actions and o 1 and o 2 are specific observations.  The correct prediction for this test given the data stream up to time k is the probability of its observations occurring (in order) given that its actions are taken (in order) (i. e. , P r fO k = o 1 ; O k+1 = o 2 j A k = a 1 ; A k+1 = a 2 g).  Each test is a kind of experiment that could be performed to tell us something about the system.  If we knew the outcome of all possible tests, then we would know everything there is to know about the system.  A PSR is a set of tests that is sucient information to determine the prediction for all possible tests (a sucient statistic).  As an example of these points, consider the #oat/reset problem (Figure 2) consisting of a linear string of 5 states with a distinguished reset state on the far right.  One action, f (#oat), causes the system to move uniformly at random to the right or left by one state, bounded at the two ends.  The other action, r (reset), causes a jump to the reset state irrespective of the current state.  The observation is always 0 unless the r action is taken when the system is already in the reset state, in which case the observation is 1.  Thus, on an f action, the correct prediction is always 0, whereas on an r action, the correct prediction depends on how many fs there have been since the last r: for zero fs, it is 1; for one or two fs, it is 0. 5; for three or four fs, it is 0. 375; for five or six fs, it is 0. 3125, and so on decreasing after every second f, asymptotically bottoming out at 0. 2.  No k-order Markov method can model this system exactly, because no
Integrated Architectures for Learning, Planning, and Reacting Based on Approximating Dynamic Programming| Abstract This paper extends previous work with Dyna, a class of architectures for intelligent systems based on approximating dynamic programming methods.  Dyna architectures integrate trial-and-error (reinforcement) learning and execution-time planning into a single process operating alternately on the world and on a learned model of the world.  In this paper, I present and show results for two Dyna architectures.  The Dyna-PI architecture is based on dynamic programming's policy iteration method and can be related to existing AI ideas such as evaluation functions and universal plans (reactive systems).  Using a navigation task, results are shown for a simple Dyna-PI system that simultaneously learns by trial and error, learns a world model, and plans optimal routes using the evolving world model.  The Dyna-Q architecture is based on Watkins's Q-learning, a new kind of reinforcement learning.  Dyna-Q uses a less familiar set of data structures than does Dyna-PI, but is arguably simpler to implement and use.  We show that Dyna-Q architectures are easy to adapt for use in changing environments. 
Learning Instance-Independent Value Functions to Enhance Local Search| Abstract Reinforcement learning methods can be used to improve the performance of local search algorithms for combinatorial optimization by learning an evaluation function that predicts the outcome of search.  The evaluation function is therefore able to guide search to low-cost solutions better than can the original cost function.  We describe a reinforcement learning method for enhancing local search that combines aspects of previous work by Zhang and Dietterich (1995) and Boyan and Moore (1997, Boyan 1998).  In an off-line learning phase, a value function is learned that is useful for guiding search for multiple problem sizes and instances.  We illustrate our technique by developing several such functions for the Dial-A-Ride Problem.  Our learning-enhanced local search algorithm exhibits an improvement of more then 30% over a standard local search algorithm. 
Off-policy Learning with Recognizers| Abstract We introduce a new algorithm for off-policy temporal-difference learning with function approximation that has lower variance and requires less knowledge of the behavior policy than prior methods.  We develop the notion of a recognizer, a filter on actions that distorts the behavior policy to produce a related target policy with low-variance importance-sampling corrections.  We also consider target policies that are deviations from the state distribution of the behavior policy, such as potential temporally abstract options, which further reduces variance.  This paper introduces recognizers and their potential advantages, then develops a full algorithm for linear function approximation and proves that its updates are in the same direction as on-policy TD updates, which implies asymptotic convergence.  Even though our algorithm is based on importance sampling, we prove that it requires absolutely no knowledge of the behavior policy for the case of state-aggregation function approximators.  Off-policy learning is learning about one way of behaving while actually behaving in another way.  For example, Q-learning is an off- policy learning method because it learns about the optimal policy while taking actions in a more exploratory fashion, e. g. , according to an e-greedy policy.  Off-policy learning is of interest because only one way of selecting actions can be used at any time, but we would like to learn about many different ways of behaving from the single resultant stream of experience.  For example, the options framework for temporal abstraction involves considering a variety of different ways of selecting actions.  For each such option one would like to learn a model of its possible outcomes suitable for planning and other uses.  Such option models have been proposed as fundamental building blocks of grounded world knowledge (Sutton, Precup & Singh, 1999; Sutton, Rafols & Koop, 2005).  Using off-policy learning, one would be able to learn predictive models for many options at the same time from a single stream of experience.  Unfortunately, off-policy learning using temporal-difference methods has proven problematic when used in conjunction with function approximation.  Function approximation is essential in order to handle the large state spaces that are inherent in many problem domains.  Q-learning, for example, has been proven to converge to an optimal policy in the tabular case, but is unsound and may diverge in the case of linear function approximation (Baird, 1996).  Precup, Sutton, and Dasgupta (2001) introduced and proved convergence for the first off-policy learning algorithm with linear function approximation.  They addressed the problem of learning the expected value of a target policy based on experience generated using a different behavior policy.  They used importance sampling techniques to reduce the off-policy case to the on-policy case, where existing convergence theorems apply (Tsitsiklis & Van Roy, 1997; Tadic, 2000).  There are two important difficulties with that approach.  First, the behavior policy needs to be stationary and known, because it is needed to compute the importance sampling corrections.  Second, the importance sampling weights are often ill-conditioned.  In the worst case, the variance could be infinite and convergence would not occur.  The conditions required to prevent this were somewhat awkward and, even when they applied and asymptotic convergence was assured, the variance could still be high and convergence could be slow.  In this paper we address both of these problems in the context of off-policy learning for options.  We introduce the notion of a recognizer.  Rather than specifying an explicit target policy (for instance, the policy of an option), about which we want to make predictions, a recognizer specifies a condition on the actions that are selected.  For example, a recognizer for the temporally extended action of picking up a cup would not specify which hand is to be used, or what the motion should be at all different positions of the cup.  The recognizer would recognize a whole variety of directions of motion and poses as part of picking the cup.  The advantage of this strategy is not that one might prefer a multitude of different behaviors, but that the behavior may be based on a variety of different strategies, all of which are relevant, and we would like to learn from any of them.  In general, a recognizer is a function that recognizes or accepts a space of different ways of behaving and thus, can learn from a wider range of data.  Recognizers have two advantages over direct specification of a target policy: 1) they are a natural and easy way to specify a target policy for which importance sampling will be well conditioned, and 2) they do not require the behavior policy to be known.  The latter is important because in many cases we may have little knowledge of the behavior policy, or a stationary behavior policy may not even exist.  We show that for the case of state aggregation, even if the behavior policy is unknown, convergence to a good model is achieved.  1 Non-sequential example The benefits of using recognizers in off-policy learning can be most easily seen in a nonsequential context with a single continuous action.  Suppose you are given a sequence of sample actions a i 2 [0, 1], selected i. i. d.  according to probability density b : [0, 1] 7! + (the behavior density).  For example, suppose the behavior density is of the oscillatory form shown as a red line in Figure 1.  For each each action, a i , we observe a corresponding outcome, z i 2 , a random variable whose distribution depends only on a i .  Thus the behavior density induces an outcome density.  The on-policy problem is to estimate the mean m b of the outcome density.  This problem can be solved simply by averaging the sample outcomes: ^ m b = i z i .  The off-policy problem is to use this same data to learn what the mean would be if actions were selected in some way other than b.  For example, if the actions were restricted to a designated range, such as between 0. 7 and 0. 9.  There are two natural ways to pose this off-policy problem.  The most straightforward way is to be equally interested in all actions within the designated region.  One professes to be interested in actions selected according to a target density p : [0, 1] 7! + , which in the example would be 5. 0 between 0. 7 and 0. 9, and zero elsewhere, as in the dashed line in Figure 1 (left).  The importance- sampling estimate of the mean outcome is ^ m p = i p(a i ) b(a i ) z i .  (1)
Learning Polynomial Functions by Feature Construction| Abstract We present a method for learning higherorder polynomial functions from examples using linear regression and feature construction.  Regression is used on a set of training instances to produce a weight vector for a linear function over the feature set.  If this hypothesis is imperfect, a new feature is constructed by forming the product of the two features that most effectively predict the squared error of the current hypothesis.  The algorithm is then repeated.  In an extension to this method, the specific pair of features to combine is selected by measuring their joint ability to predict the hypothesis' error. 
Using Predictive Representations to Improve Generalization in Reinforcement Learning| Abstract The predictive representations hypothesis holds that particularly good generalization will result from representing the state of the world in terms of predictions about possible future experience.  This hypothesis has been a central motivation behind recent research in, for example, PSRs and TD networks.  In this paper we present the first explicit investigation of this hypothesis.  We show in a reinforcement-learning example (a grid-world navigation task) that a predictive representation in tabular form can learn much faster than both the tabular explicit-state representation and a tabular history-based method. 
