Hierarchical Optimal Control of MDPs| Abstract Fundamental to reinforcement learning, as well as to the
ON THE CURVATURE COLLINEATION IN FINSLER SPACE| Abstract.  We define # x i = x i + v i (x)t as the h-curvature collineation of a Finsler space, supposing that the Lie derivative of Bervald's curvature tensor is equal to zero.  Then we prove that every motion and every homothetic transformation admitted in a Finsler space are H-curvature collineations. 
Reinforcement Learning Algorithms for Average-Payoff Markovian Decision Processes| Abstract Reinforcement learning (RL) has become a central
Analytical Mean Squared Error Curves in Temporal Difference Learning| Abstract Wehave calculated analytical expressions for how the bias and variance of the estimators provided byvarious temporal difference value estimation algorithms change with offline updates over trials in absorbing Markovchains using lookup table representations.  We illustrate classes of learning curvebehavior in various chains, and show the manner in which TD is sensitive to the choice of its stepsize and eligibility trace parameters. 
Planning with Closed-Loop Macro Actions| Abstract Planning and learning at multiple levels of temporal abstraction is a key problem for artificial intelligence.  In this paper we summarize an approach to this problem based on the mathematical framework of Markov decision processes and reinforcement learning.  Conventional model-based reinforcement learning uses primitive actions that last one time step and that can be modeled independently of the learning agent.  These can be generalized to macro actions, multi-step actions specified by an arbitrary policy and a way of completing.  Macro actions generalize the classical notion of a macro operator in that they are closed loop, uncertain, and of variable duration.  Macro actions are needed to represent common-sense higher-level actions such as going to lunch, grasping an object, or traveling to a distant city.  This paper generalizes prior work on temporally abstract models (Sutton 1995) and extends it from the prediction setting to include actions, control, and planning.  We define a semantics of models of macro actions that guarantees the validity of planning using such models.  This paper present new results in the theory of planning with macro actions and illustrates its potential advantages in a gridworld task. 
An Upper Bound on the Loss from Approximate Optimal-Value Functions| Abstract Many reinforcement learning approaches can be formulated using the theory of Markov decision processes and the associated method of dynamic programming (DP).  The value of this theoretical understanding, however, is tempered by many practical concerns.  One important question is whether DP-based approaches that use function approximation rather than lookup tables can avoid catastrophic effects on performance.  This note presents a result of Bertsekas (1987) which guarantees that small errors in the approximation of a task's optimal value function cannot produce arbitrarily bad performance when actions are selected by a greedy policy. We derive an upper bound on performance loss that is slightly tighter than that in Bertsekas (1987), and we show the extension of the bound to Q-learning (Watkins, 1989).  These results provide a partial theoretical rationale for the approximation of value functions, an issue of great practical importance in reinforcement learning. 
An MDP-Based Approach to Online Mechanism Design| Abstract Online mechanism design (MD) considers the problem of providing incentives to implement desired system-wide outcomes in systems with self-interested agents that arrive and depart dynamically.  Agents can choose to misrepresent their arrival and departure times, in addition to information about their value for different outcomes.  We consider the problem of maximizing the total longterm value of the system despite the self-interest of agents.  The online MD problem induces a Markov Decision Process (MDP), which when solved can be used to implement optimal policies in a truth-revealing Bayesian-Nash equilibrium. 
Near-Optimal Reinforcement Learning in Polynominal Time| Abstract We present new algorithms for reinforcement learning, and prove that they have polynomial bounds on the resources required to achieve near-optimal return in general Markov decision processes.  After observing that the number of actions required to approach the optimal return is lower bounded by the mixing time T of the optimal policy (in the undiscounted case) or by the horizon time T (in the discounted case), we then give algorithms requiring a number of actions and total computation time that are only polynomial in T and the number of states, for both the undiscounted and discounted cases.  An interesting aspect of our algorithms is their explicit handling of the ExplorationExploitation trade-off. 
ON APPROXIMATION OF INTEGRABLE FUNCTIONS BY MODIFIED BERNSTEIN POLYNOMIALS| Abstract.  We introduce a class of positive linear operators defined for functions integrable on the simplex # = f(x1 ; x2 ) : x1 # 0; x2 # 0; x1 + x2 # 1g and study some approximations theorems on it. 
Between MDPs and Semi-MDPs: A Framework for Temporal Abstraction in Reinforcement Learning| Abstract Learning, planning, and representing knowledge at multiple levels of temporal abstraction are key, longstanding challenges for AI.  this paper we consider how these challenges can be addressed within the mathematical framework reinforcement learning and Markov decision processes (MDPs).  We extend the usual notion of action in this framework to include options---closed-loop policies for taking action over period of time.  Examples of options include picking up an object, going to lunch, and traveling a distant city, as well as primitive actions such as muscle twitches and joint torques.  Overall, we show that options enable temporally abstract knowledge and action to be included in the reinforcement learning framework in natural and general way.  In particular, we show that options may be used interchangeably with primitive actions in planning methods such as dynamic programming and in learning methods such as Q-learning.  Formally, a set of options defined over MDP constitutes a semi-Markov decision process (SMDP), and the theory of SMDPs provides the foundation for the theory options.  However, the most interesting issues concern the interplay between the underlying MDP and the SMDP and are thus beyond SMDP theory.  We present results for three such cases: (1) we show that the results planning with options can be used during execution interrupt options and thereby perform even better than planned, (2) we introduce new intra-option methods that are able learn about an option from fragments of execution, and (3) we propose notion subgoal that can be used to improve the options themselves.  All of these results have precursors in the existing literature; the contribution of this paper is to establish them in simpler and more general setting with fewer changes to the existing reinforcement learning framework.  In particular, we show that these results can be obtained without committing (or ruling out) any particular approach to state abstraction, hierarchy, function approximation, or the macro Corresponding author. 
Policy Gradient Methods for Reinforcement Learning with Function Approximation| Abstract Function approximation is essential to reinforcement learning, but the standard approach of approximating a value function and determining a policy from it has so far proven theoretically intractable.  In this paper we explore an alternative approach in which the policy is explicitly represented by its own function approximator, independent of the value function, and is updated according to the gradient of expected reward with respect to the policy parameters.  Williams's REINFORCE method and actor--critic methods are examples of this approach.  Our main new result is to show that the gradient can be written in a form suitable for estimation from experience aided by an approximate action-value or advantage function.  Using this result, we prove for the first time that a version of policy iteration with arbitrary dierentiable function approximation is convergent to a locally optimal policy.  Large applications of reinforcement learning (RL) require the use of generalizing function approximators such neural networks, decision-trees, or instance-based methods.  The dominant approach for the last decade has been the value-function approach, in which all function approximation eort goes into estimating a value function, with the action-selection policy represented implicitly as the "greedy" policy with respect to the estimated values (e. g. , as the policy that selects in each state the action with highest estimated value).  The value-function approach has worked well in many applications, but has several limitations.  First, it is oriented toward finding deterministic policies, whereas the optimal policy is often stochastic, selecting dierent actions with specific probabilities (e. g. , see Singh, Jaakkola, and Jordan, 1994).  Second, an arbitrarily small change in the estimated value of an action can cause it to be, or not be, selected.  Such discontinuous changes have been identified as a key obstacle to establishing convergence assurances for algorithms following the value-function approach (Bertsekas and Tsitsiklis, 1996).  For example, Q-learning, Sarsa, and dynamic programming methods have all been shown unable to converge to any policy for simple MDPs and simple function approximators (
